orig_airport,dest_airport,total_passengers
PDX,PHL,47511
MIA,CVG,47501
GSO,DTW,47435
CLE,BUF,47382
ATL,DHN,47379
EWR,BDL,47336
MKE,STL,47335
ROC,LGA,47284
EWR,CHS,47169
JFK,CLE,47161
MEM,DSM,46910
TPA,SLC,46904
PDX,IAD,46881
PHX,PVD,46864
RDU,CLE,46828
MEM,TUL,46803
PWM,DTW,46721
IAD,MHT,46677
GSO,IAD,46630
ORD,GSP,46589
ABQ,MCI,46566
DCA,LAX,46564
PVD,FLL,46543
GSO,DFW,46529
LGA,BWI,46518
BHM,DTW,46499
CAK,DTW,46475
MIA,SEA,46471
SEA,EAT,46448
PHX,MHT,46438
ATL,DSM,46324
SLC,RDU,46247
ORD,EVV,46232
GSO,CVG,46226
GRR,MKE,46193
SAN,STL,46125
ABE,PHL,46094
GSP,ORD,46086
DFW,GSP,46028
FNT,ORD,45990
MEM,PNS,45955
ALB,CLE,45935
DTW,CAK,45917
MSP,ATW,45871
JAC,ORD,45851
DTW,PWM,45843
SFO,FAT,45757
TUL,MEM,45736
BHM,CVG,45699
IAD,AUS,45695
DFW,ACT,45661
DTW,BHM,45649
IAH,GRK,45644
AUS,IAD,45623
SAN,HOU,45611
PVD,LAS,45579
MDW,JAN,45572
IAD,GSO,45512
GSP,DFW,45482
HOU,MAF,45347
IAH,LCH,45334
MEM,BOS,45314
RDU,MEM,45309
CVG,MEM,45275
LAS,MEM,45273
LGA,ROC,45148
PNS,MEM,45087
RDU,SLC,45082
PIT,CLE,45075
ELM,DTW,45039
CHS,EWR,45025
MHT,LAS,44972
GRK,IAH,44947
FLL,PVD,44946
DTW,ELM,44924
SLC,COS,44907
JAN,MDW,44898
PDX,CVG,44839
FCA,SEA,44838
TLH,MEM,44794
SFB,ABE,44753
MEM,TLH,44734
IAH,CLL,44716
ABE,SFB,44694
DFW,CHS,44648
PIT,MEM,44623
COS,SLC,44623
ROC,DCA,44586
STL,SAN,44566
PBI,BDL,44526
MHT,IAD,44522
SLC,OGG,44496
CAE,IAD,44451
AEX,IAH,44293
SEA,FCA,44242
ORD,FNT,44218
OGG,SLC,44169
BOS,MEM,44161
DAY,IAD,44160
FWA,DTW,44118
SEA,MEM,44095
DTW,GSP,44076
TPA,ALB,44046
GRR,CLE,44002
IAD,PDX,43923
MSY,PHX,43872
DTW,ATW,43858
LGA,DAY,43845
DSM,ATL,43834
ORD,FAR,43793
IAD,DAY,43783
GSP,CVG,43764
IND,STL,43704
HOU,SAN,43695
DCA,ROC,43670
MEM,PIT,43645
FLO,CLT,43642
JAN,MEM,43619
ATL,SBN,43615
MSP,AUS,43607
LAS,PVD,43606
FSM,DFW,43598
SYR,CVG,43593
FAR,ORD,43583
SBP,PHX,43576
BTV,LGA,43519
MEM,LAS,43498
CWA,ORD,43457
LAX,GEG,43447
JFK,CMH,43403
SBN,ATL,43382
IAH,AEX,43380
ORD,CAE,43333
MHT,PHX,43314
CLE,GRR,43232
LAS,ALB,43226
GEG,LAX,43204
AUS,MSP,43192
ORD,CWA,43114
MSN,MKE,43113
CVG,PDX,43095
MEM,RDU,43094
BWI,MSY,43078
PVD,CVG,43077
MCO,FNT,43074
OMA,CVG,43011
GSP,DTW,42962
PHX,SBP,42951
FNT,MCO,42919
ICT,MEM,42899
RNO,MDW,42876
MEM,JAN,42852
MEM,CVG,42829
CHS,DFW,42771
CVG,GSP,42767
STS,LAX,42761
SAT,CVG,42752
BDL,LAS,42721
CAK,BOS,42705
BUF,PHX,42703
PHX,BUF,42688
PHX,MSY,42684
CVG,ALB,42682
TYR,DFW,42659
LAS,AMA,42630
PHX,MIA,42609
ATW,DTW,42570
BDL,PBI,42564
BUF,CVG,42553
STL,BNA,42543
FLL,MYR,42502
MDW,RNO,42455
CAE,ORD,42449
PVD,PHX,42410
DFW,FSM,42393
LAS,LIT,42301
DAY,LGA,42229
XNA,IAH,42224
CVG,SYR,42223
CVG,MDT,42213
SLC,HLN,42205
CVG,PVD,42097
MEM,ICT,42085
ROC,BOS,42006
ALB,CVG,41982
MEM,SEA,41981
ORD,LSE,41966
IAH,RIC,41949
DSM,PHX,41938
PHX,DSM,41936
BHM,LAS,41909
LAX,STS,41888
LIT,LAS,41832
LAS,MHT,41806
OAK,BNA,41790
MHT,ATL,41780
MAF,LAS,41767
ALB,LAS,41711
FLL,AUS,41693
LGA,BTV,41677
AMA,LAS,41672
SEA,BNA,41653
IAH,XNA,41638
STL,SAT,41527
ALB,TPA,41505
MKE,GRR,41478
PHX,FLG,41470
LAS,LBB,41433
LSE,ORD,41406
MYR,FLL,41297
IAH,GSO,41237
AUS,FLL,41204
BZN,SEA,41197
FLG,PHX,41187
LAX,PIT,41157
PHL,PDX,41094
ATL,MHT,41081
BNA,STL,41080
MSP,LNK,40998
BDL,MIA,40975
GSO,IAH,40974
ATL,SGF,40971
BTV,BWI,40943
CLE,PIT,40877
CLT,FLO,40801
SFB,TYS,40789
MDT,CVG,40755
TYS,SFB,40750
BWI,BTV,40725
CVG,OMA,40720
LIT,MDW,40719
SAT,STL,40701
RIC,IAH,40676
BGR,PHL,40636
MAF,ABQ,40631
LNK,MSP,40597
BOS,ROC,40588
MOB,DFW,40519
PHL,ABE,40506
CLE,MEM,40353
MDW,LIT,40262
HLN,SLC,40261
SGF,ATL,40233
BNA,IAD,40223
CVG,SAT,40198
PIT,SFO,40181
BWI,LIT,40164
GJT,SLC,40103
MIA,PHX,40099
EWR,SAV,40037
DCA,OMA,40035
PWM,MCO,39967
CMH,JFK,39945
BNA,PVD,39871
LAS,MAF,39851
DFW,MOB,39815
CVG,BUF,39787
ABQ,TPA,39741
JFK,ANC,39734
BOS,CAK,39732
COS,LAS,39725
ATL,EVV,39725
BDL,JFK,39684
MCO,PWM,39616
SFO,PIT,39611
CMH,MKE,39609
SAT,IAD,39595
OMA,DCA,39585
BOS,PDX,39579
DAY,DCA,39571
STL,IND,39463
SMF,JFK,39452
ANC,JFK,39447
LBB,LAS,39446
IAH,CHS,39429
MYR,EWR,39416
DFW,SPS,39401
MEM,CLE,39381
LFT,ATL,39374
MSP,FCA,39359
DFW,CAE,39356
CLE,SYR,39356
ROC,CLT,39330
LAS,BDL,39320
CLT,ROC,39309
ABY,ATL,39295
ILM,LGA,39186
ATL,LFT,39166
EWR,MYR,39166
LAS,COS,39158
PDX,MCI,39134
GPT,DFW,39131
MCI,PDX,39107
OKC,BWI,39101
TPA,AUS,39084
SEA,GTF,39067
CHS,IAH,39058
PIT,LAX,39044
HOU,JAX,39036
JFK,SMF,39006
IAD,SAT,38960
SMF,IAD,38918
MEM,TYS,38898
PHL,BGR,38891
MKE,CMH,38792
LIT,BWI,38719
EVV,ATL,38696
EWR,ANC,38671
MKE,MSN,38654
HSV,MEM,38619
BHM,PHX,38552
PHX,BHM,38546
MSY,BWI,38491
PDX,DTW,38463
DAY,CLE,38416
DFW,GPT,38338
ATL,OAJ,38319
SYR,CLE,38289
GSO,MEM,38258
SAV,EWR,38241
PDX,BOS,38197
ATL,ABY,38164
BNA,BDL,38161
FWA,ATL,38150
JFK,BNA,38150
BOS,MCI,38146
PWM,CLT,38123
MCI,BOS,38096
MEM,PFN,38067
ATL,FWA,38024
CID,DTW,38021
FCA,MSP,38007
BWI,OKC,37993
FAT,SEA,37938
LGA,ILM,37903
CLE,DAY,37901
STL,BHM,37882
MEM,HSV,37847
DTW,ABE,37834
MSY,CVG,37811
FLL,IND,37802
VLD,ATL,37800
SEA,BIL,37753
ABQ,STL,37654
ORD,SPI,37637
CAK,ORD,37630
SAN,ELP,37546
MCO,CAK,37517
BNA,SEA,37501
IAD,GSP,37494
MIA,BDL,37445
DTW,CWA,37420
DBQ,ORD,37419
SLC,GJT,37416
BWI,SFO,37397
CAK,TPA,37395
FLL,SLC,37389
AUS,TPA,37366
TPA,ABQ,37353
BIL,SEA,37349
PVD,BNA,37341
MEM,XNA,37336
IND,FLL,37297
SNA,CVG,37280
SPI,ORD,37279
GTF,SLC,37273
EWR,OMA,37260
DFW,TYR,37227
SLC,FLL,37198
OAJ,ATL,37190
MEM,GSO,37138
SLC,SGU,37103
IAH,DAY,37076
DTW,PDX,37070
CVG,MSY,37061
DSM,CVG,37043
ORD,CAK,37025
CLT,PWM,37015
OMA,EWR,36979
CVG,CAE,36971
CWA,DTW,36946
PFN,MEM,36926
LAX,COS,36890
SBY,PHL,36866
BDL,BNA,36848
PDX,ABQ,36834
BHM,JAX,36831
ABE,DTW,36822
ALB,JFK,36815
SFO,BWI,36808
ATL,VLD,36792
SEA,FAT,36783
JAX,BHM,36736
ROA,ORD,36730
SLC,GTF,36705
MCI,SFO,36617
SGU,SLC,36588
ABQ,LBB,36560
BNA,JFK,36555
JAX,HOU,36544
DAY,IAH,36503
TPA,ROC,36445
GSP,IAD,36432
IAH,SAV,36419
BOS,JAX,36415
MEM,MOB,36399
LRD,IAH,36373
TPA,CAK,36360
MSY,MDW,36294
LGA,SYR,36291
LIT,CVG,36287
LFT,DFW,36274
ATL,AEX,36218
DTW,CID,36199
LAS,BHM,36175
IAH,TYR,36172
CAK,MCO,36058
PHL,SBY,36033
ORD,DBQ,36023
STL,ABQ,36001
MSP,GTF,35893
JAX,BOS,35874
IAD,SMF,35871
ABQ,MAF,35870
ABQ,IAD,35806
CAE,CVG,35778
CLE,ROC,35758
DFW,LFT,35753
ROC,TPA,35735
PIA,LAS,35734
TUL,CVG,35665
MOB,MEM,35623
LAN,ORD,35620
GSO,DCA,35605
CAE,DFW,35604
SFO,MCI,35540
ANC,PHX,35505
LAS,PIA,35481
ORD,LAN,35460
COS,LAX,35436
ATL,ABE,35418
SAV,IAH,35409
MKE,SEA,35409
IAH,HSV,35395
DTW,EVV,35369
XNA,MEM,35353
GEG,ORD,35342
CVG,ROC,35296
DSM,LAS,35278
MGM,MEM,35262
AEX,ATL,35237
IAH,LRD,35204
MDW,MSY,35202
JAN,CLT,35153
STL,SNA,35143
SEA,MKE,35084
SLC,SAT,35079
ATW,MKE,35050
ABE,ATL,35037
ROC,CVG,34996
ORD,TOL,34960
GTF,MSP,34958
LAS,DSM,34957
TYR,IAH,34950
BNA,OAK,34936
HSV,IAH,34890
ROC,CLE,34843
DCA,DAY,34838
TOL,ORD,34774
FWA,CVG,34768
AUS,BOS,34751
SBP,SFO,34748
ICT,LAS,34739
CVG,HSV,34728
HNL,ANC,34725
EVV,DTW,34673
GSP,SFB,34661
LAS,ICT,34607
TPA,SAT,34572
MFR,LAX,34570
CMH,CLE,34550
ELP,SAN,34550
MEM,MGM,34536
SHV,MEM,34527
CVG,LIT,34496
DCA,GSO,34489
PHL,HVN,34450
MQT,DTW,34382
PHX,ANC,34368
BDL,PIT,34351
MSP,SUX,34303
CVG,DSM,34268
SYR,LGA,34246
SUX,MSP,34162
ROW,DFW,34150
ORD,ROA,34149
DFW,MSN,34116
ABQ,PDX,34079
GTR,ATL,34057
MEM,SGF,34037
DFW,ROW,33922
GSP,MEM,33907
MSP,FAI,33894
CVG,SNA,33890
HVN,PHL,33863
LYH,CLT,33847
SFB,GSP,33843
MCO,JAN,33804
RDU,BDL,33786
ICT,PHX,33769
SLC,AUS,33767
MSP,JAX,33763
MKE,PIT,33740
BDL,PHX,33731
SGF,MEM,33728
ORD,MBS,33725
DTW,OKC,33681
ATL,GTR,33680
SAT,TPA,33658
CVG,TUL,33655
SAT,SLC,33635
MKE,FLL,33623
PHX,BDL,33618
DFW,SAV,33602
PIT,MKE,33576
AUS,CVG,33575
MEM,SHV,33531
BTV,DTW,33430
ABQ,CVG,33418
PHL,ERI,33384
SLC,CLE,33377
MFR,SEA,33346
GPT,TPA,33344
TPA,GPT,33322
IAD,ABQ,33304
HOU,LIT,33303
SFO,SBP,33213
BOS,AUS,33207
SLC,OKC,33181
CVG,MHT,33159
SLC,FAT,33151
DTW,BTV,33145
DTW,MSY,33142
MEM,GSP,33107
PIT,BDL,33016
DTW,ROA,33013
MBS,ORD,33012
CID,CVG,33010
CLE,CMH,32982
FLL,MKE,32865
MHT,CVG,32796
OKC,SLC,32739
CLE,SLC,32728
CLT,LYH,32675
CVG,FWA,32655
ANC,HNL,32649
BHM,STL,32634
CLT,JAN,32604
PHX,ICT,32576
ERI,PHL,32565
MSP,OKC,32562
MSN,DFW,32560
CVG,CHS,32551
PIT,RDU,32521
LIT,HOU,32502
AUS,SLC,32495
LAX,MFR,32442
BDL,RDU,32406
OKC,CVG,32333
LBB,ABQ,32253
MHT,LGA,32229
ROA,DTW,32212
CLE,SEA,32200
ORD,GEG,32101
MKE,ATW,32007
SEA,CLE,32003
JAN,MCO,31910
JAX,MSP,31878
LAS,CID,31818
IND,JAX,31807
EWR,DAY,31724
AUS,DTW,31722
IAH,GSP,31690
CLE,RIC,31596
CID,LAS,31524
DTW,AUS,31510
FLL,SAT,31493
MSY,DTW,31438
IAH,CAE,31381
FSD,LAS,31368
JAC,DFW,31351
OKC,DTW,31306
CVG,AUS,31269
LGA,MHT,31259
SEA,MFR,31226
BTV,MCO,31222
PHL,JFK,31220
IAD,TYS,31214
SFO,RDD,31184
FAT,SLC,31147
XNA,CLT,31133
GSP,IAH,31108
SAV,DFW,31092
PUW,LWS,31072
BGR,DTW,31058
CLT,XNA,31057
SGF,LAS,30998
JFK,ALB,30976
DTW,MQT,30976
RDD,SFO,30976
SAT,FLL,30939
SCE,IAD,30936
PHL,AUS,30904
IAH,GRR,30900
SMF,MCI,30850
BTV,ATL,30751
DFW,GRR,30734
EWR,GSP,30713
ATL,BTV,30706
DTW,TUL,30688
BGR,BOS,30617
LAS,SGF,30609
CLT,MOB,30595
PIT,STL,30581
DTW,BGR,30580
LAS,FSD,30558
GRB,MKE,30553
TOL,DTW,30548
CVG,OKC,30526
CVG,ABQ,30508
CVG,SAV,30469
CVG,CID,30427
TWF,SLC,30385
RIC,STL,30314
DSM,STL,30313
TYS,IAD,30297
IAD,SCE,30184
ATL,MLU,30171
CHS,DTW,30137
DTW,CHS,30112
BOS,SJC,30108
AVL,DTW,30090
DAY,MSP,30086
SFO,SAT,30084
SEA,BWI,30060
SAV,CVG,30043
CVG,CHA,30014
STL,RIC,29983
ALW,SEA,29982
SLC,EUG,29958
GSP,PHL,29933
ATL,ANC,29914
DAY,EWR,29898
ERI,CLE,29892
BPT,IAH,29884
IAD,BNA,29828
MSP,DAY,29813
AUS,PHL,29763
SEA,BZN,29739
MEM,SAV,29733
CVG,PWM,29729
GRR,DFW,29638
STL,DSM,29602
BQK,ATL,29596
MLU,ATL,29568
CHO,ATL,29504
EUG,SLC,29500
RDU,PIT,29497
GSP,EWR,29483
ATW,ATL,29458
FAI,MSP,29426
ATL,ATW,29385
GRR,IAH,29377
ATL,BQK,29372
SCK,LAS,29323
MDW,BOS,29283
DFW,JAC,29229
TLH,MIA,29208
HSV,CVG,29195
SEA,ALW,29133
STL,DAY,29126
LAS,SCK,29121
MFR,SLC,29091
CHS,CVG,29043
OKC,MSP,29013
BWI,SEA,28992
SAV,MEM,28934
JAX,IND,28928
CLE,SBN,28848
CAE,IAH,28745
BOS,MDW,28721
SLC,MFR,28714
PHL,SAT,28684
MCO,BTV,28662
CLT,SLC,28638
ANC,ATL,28635
RIC,CLE,28592
DCA,CAE,28590
SJC,BOS,28580
DTW,TOL,28572
MIA,TLH,28529
ATL,CHO,28495
ANC,IAH,28454
MKE,BNA,28427
CLL,DFW,28385
ORD,DAL,28382
MKE,GRB,28369
CAE,PHL,28348
MCI,SMF,28347
CLE,ABE,28337
IAD,ABE,28332
PHL,GSP,28325
PWM,CVG,28322
CHA,SFB,28321
DTW,AVL,28304
ORD,AVP,28234
BDL,STL,28221
CRW,CVG,28208
AUS,MAF,28202
STL,JFK,28145
STL,AUS,28123
STL,PIT,28086
RAP,SLC,28037
BNA,MKE,28034
MSP,ICT,28015
LBB,ELP,27983
MEM,CHS,27969
MOB,CLT,27959
AVP,DTW,27924
CVG,ATW,27914
CLE,ERI,27869
EWN,ATL,27858
EYW,FLL,27850
DAY,STL,27833
RDM,SLC,27821
CHS,MEM,27815
SAT,PHL,27794
DFW,CLL,27787
EVV,MEM,27742
TUL,DTW,27697
SLC,CLT,27684
ATL,EWN,27657
IAD,ROA,27637
SLC,RAP,27622
ABE,IAD,27598
IAD,CHO,27590
AZO,CVG,27563
BOS,BGR,27561
ABE,CLE,27538
SLC,RDM,27489
JFK,BDL,27480
MEM,EVV,27469
JNU,KTN,27446
PHL,CAE,27438
SFB,CHA,27423
BGM,IAD,27416
MDW,DFW,27393
FLL,EYW,27322
TUL,MSP,27269
PBI,CLE,27258
OMA,SLC,27217
RNO,ATL,27209
ATW,CVG,27208
SBN,CLE,27186
CHO,IAD,27095
SLC,SBA,27089
CHA,CVG,27088
CHA,MEM,27082
IAD,BGM,27048
SLC,MSY,27030
DFW,LEX,27021
SJC,EWR,27012
SLC,TWF,27002
AVP,ORD,26973
MSN,CVG,26956
CAE,DTW,26955
EVV,CVG,26932
MSP,TUL,26928
DFW,MDW,26917
JFK,STL,26917
SBA,SLC,26881
SEA,STS,26839
DTW,AVP,26795
IAH,BPT,26789
LWS,SEA,26781
SLC,OMA,26659
CVG,CRW,26651
SJC,IAD,26645
SAT,SFO,26634
STL,BDL,26615
DAL,ORD,26578
JAX,STL,26498
CLE,PBI,26389
ICT,MSP,26375
CVG,AZO,26349
ELP,LBB,26319
XNA,CVG,26297
PUW,SEA,26245
LAX,ACV,26230
JAN,DTW,26230
PIH,SLC,26229
CAE,DCA,26209
LEX,DFW,26186
DFW,PIA,26153
MKE,SFO,26105
CVG,EVV,26063
HLN,SEA,26054
MSP,ALO,26012
CVG,AVL,25970
PVD,JFK,25965
STL,ICT,25964
DTW,JAN,25920
ACV,LAX,25901
SLC,TUL,25881
SFO,MKE,25875
IAH,DSM,25839
DSM,MKE,25805
ALO,MSP,25788
FNT,MKE,25784
PIA,DFW,25771
STS,SEA,25743
HSV,DTW,25740
SFO,MOD,25738
CVG,MSN,25713
DFW,FWA,25688
BIS,LAS,25687
ATL,RNO,25680
LAS,JAX,25671
TUL,SLC,25635
FWA,DFW,25622
MOD,SFO,25609
MGM,CLT,25593
ANC,DFW,25552
EYW,TPA,25514
STL,JAX,25451
AUS,STL,25449
AVP,ATL,25438
LAX,OKC,25428
DTW,DLH,25406
MSO,LAS,25360
SNA,AUS,25338
ANC,LAX,25337
EWR,SJC,25333
GJT,PHX,25326
MEM,CHA,25313
LAS,BIS,25311
SYR,FLL,25310
DFW,ANC,25240
RFD,SFB,25207
JFK,PHL,25201
DTW,CAE,25186
GGG,DFW,25174
MKE,DSM,25174
ATL,AVP,25154
OAK,OGG,25121
CLT,MGM,25067
DTW,SCE,25050
SFO,CIC,24965
EKO,SLC,24959
ATL,PIA,24909
STL,MSN,24901
BGM,DTW,24886
PHX,GJT,24871
MSY,SLC,24864
KTN,JNU,24845
SLC,PIH,24777
CIC,SFO,24759
RDU,IND,24731
SMF,GEG,24729
DTW,BGM,24700
FLL,RIC,24658
PIA,ATL,24656
DSM,IAH,24640
TYS,DCA,24606
SLC,EKO,24590
SCE,DTW,24587
SNA,STL,24563
OGG,OAK,24525
TLH,TPA,24505
SFB,RFD,24475
RIC,FLL,24442
AUS,OAK,24441
GSO,SFB,24399
LAS,MSO,24390
BHM,LGA,24357
DFW,GJT,24350
LAX,ANC,24297
SLC,PIT,24296
GJT,DFW,24253
BUF,MSP,24246
GPT,FLL,24204
AVL,CVG,24195
IND,RDU,24193
CLE,MDT,24185
PIA,DTW,24117
MKE,FNT,24097
DTW,PIA,24083
MLU,IAH,24069
SFB,GSO,24067
DCA,TYS,24038
MDT,CLE,23999
FLL,GPT,23990
MEM,LEX,23971
RDM,LAX,23945
CVG,XNA,23924
FLL,SYR,23903
IAH,ANC,23900
SFO,MEM,23851
DTW,HSV,23842
GEG,SMF,23819
SFO,ABQ,23759
IAH,MLU,23748
LIT,PHX,23718
AVP,CVG,23662
IPT,PHL,23624
DLH,DTW,23604
IAD,SJC,23597
AVP,CLT,23597
SMF,PHL,23529
ICT,STL,23518
BZN,ORD,23504
LAX,RDM,23486
OAK,AUS,23461
PDX,MCO,23455
FSM,MEM,23442
JAX,LAS,23442
ROA,IAD,23433
BJI,MSP,23433
LAS,ANC,23432
CRW,DTW,23401
ORD,BZN,23391
CLT,AVP,23368
ABR,MSP,23349
MEM,SFO,23322
PNS,TPA,23299
CLE,MIA,23286
WFB,WFB,23274
AUS,RDU,23250
TPA,TLH,23237
DCA,GSP,23208
MSP,MSY,23185
CVG,AVP,23122
MSP,ABR,23121
SLC,LWS,23082
MIA,CLE,23067
MCO,PDX,22973
EUG,LAS,22949
LWS,SLC,22943
MSP,EAU,22920
BTM,SLC,22920
PNS,MCO,22914
OKC,LAX,22888
MSP,BUF,22833
CVG,PBI,22828
MKE,IND,22802
MSP,BJI,22784
PHL,SMF,22779
LAS,RFD,22761
LEX,MEM,22759
PBI,CVG,22709
GEG,SAN,22676
PIT,SLC,22640
FLL,MCI,22636
PHL,IPT,22626
ABQ,AMA,22615
DTW,CRW,22611
IAH,LEX,22600
SLC,CPR,22584
MEM,FSM,22566
ATL,GRK,22559
DFW,GGG,22555
LAN,MSP,22546
LFT,MEM,22527
LMT,PDX,22523
IND,MKE,22493
TUS,OAK,22492
AEX,DFW,22480
FAT,SAN,22477
SAN,GEG,22465
RFD,LAS,22412
RDM,SFO,22397
AMA,ABQ,22394
SFO,RDM,22372
SAN,FAT,22361
TPA,PNS,22315
MEM,CAE,22308
CLE,BTV,22300
RDU,AUS,22246
MCO,PNS,22214
CPR,SLC,22202
MSY,MSP,22178
MSN,STL,22173
SBA,SMF,22013
BIL,LAS,21986
MEM,LFT,21984
MAF,AUS,21947
SBA,DFW,21930
PDX,LMT,21915
FLL,TLH,21869
CLT,SBY,21841
LAS,BIL,21811
LAS,SBA,21807
SBY,CLT,21797
GRK,ATL,21778
DFW,AEX,21720
GTF,HLN,21710
SAV,DTW,21700
PHX,LIT,21695
TLH,FLL,21677
CRW,IAD,21664
MCI,FLL,21657
LEX,IAH,21639
OAK,TUS,21627
PAH,MEM,21583
IAD,CRW,21460
TPA,EYW,21451
GSP,DCA,21449
FLO,ATL,21440
FNT,TPA,21390
SFO,ANC,21388
SMF,SBA,21381
MEM,PAH,21377
LAS,EUG,21366
SAV,PHL,21343
ATL,FLO,21336
ABQ,SFO,21327
TUS,CLT,21290
SLC,BTM,21212
BGR,EWR,21196
ANC,SFO,21195
MCI,SAT,21178
ANC,LAS,21157
CLT,TUS,21111
EAU,MSP,21028
DTW,SAV,20985
TPA,DAY,20925
LYH,ATL,20892
ATL,LYH,20854
EWR,CAE,20853
SBA,SEA,20830
CAE,MEM,20806
SAT,MCI,20795
LGA,BHM,20744
MKG,DTW,20734
SGF,SFB,20709
GTF,SEA,20698
MYR,IAD,20682
AUS,SNA,20616
ACV,RDD,20590
LAN,SFB,20557
JFK,PVD,20555
EWR,GRR,20503
MBS,MSP,20487
PHX,EUG,20478
RDD,ACV,20439
SFB,LAN,20402
CVG,TOL,20331
SBA,LAS,20283
EWR,BHM,20240
BTV,CLE,20237
PDX,RDD,20219
LAS,FAR,20212
MKE,BDL,20177
ORD,CRW,20141
SFB,SGF,20119
DTW,MKG,20055
TOL,CVG,20012
SEA,SBA,19993
FAR,LAS,19978
TPA,FNT,19973
EWR,AVL,19940
FSD,CVG,19858
GRR,EWR,19856
BMI,DTW,19817
DFW,SBA,19752
DTW,BMI,19730
PHL,SAV,19729
PHL,TYS,19716
DAY,TPA,19704
SFO,IND,19667
MEI,ATL,19617
AVL,EWR,19603
IAD,HSV,19572
DSM,SFB,19459
ACY,PBI,19402
IAH,CRW,19355
EUG,PHX,19317
CAE,EWR,19302
SFB,GPT,19296
TVC,MSP,19291
MSP,PIA,19289
PDX,FAT,19275
AEX,MEM,19260
PVD,LGA,19260
GPT,SFB,19259
BDL,MKE,19242
OMA,CLE,19241
ROA,PHL,19234
RDD,LAX,19216
MHT,FLL,19174
MFR,LAS,19153
STS,PDX,19149
FNT,CLE,19092
RDD,PDX,19048
PIA,MSP,19017
STL,CID,19014
FAT,PDX,18989
IAD,MYR,18974
ORD,CHA,18972
CID,STL,18969
BDL,IND,18960
MSP,LAN,18948
IND,BDL,18939
SFB,DSM,18931
DTW,ITH,18880
MCI,RDU,18877
IND,SFO,18870
DRO,PHX,18834
PDX,CLT,18834
ATL,MEI,18832
PBI,ACY,18825
RIC,MSP,18812
ITH,DTW,18770
TUP,MEM,18758
STC,MSP,18755
CLE,FNT,18724
BHM,EWR,18722
LAS,MFR,18704
CVG,FSD,18704
EWR,BGR,18689
ROA,SFB,18688
SBN,SFB,18679
MEM,AEX,18663
TYS,PHL,18632
MSP,RIC,18507
SFB,SBN,18495
SLC,CMH,18442
PDX,STS,18426
PHX,DRO,18403
MSY,RDU,18379
CMH,SLC,18324
BRD,MSP,18302
RDU,MSY,18269
CRW,ORD,18249
LGA,PVD,18239
BLI,AZA,18190
HSV,IAD,18158
CLT,PDX,18148
SFB,ROA,18116
MKE,RDU,18044
CRW,IAH,17991
RDU,MKE,17946
SEA,AUS,17830
FLL,MHT,17805
MKE,DAY,17745
CLE,OMA,17709
ORD,RAP,17704
CMH,PGD,17668
MEM,TUP,17661
PHL,ROA,17659
FAR,AZA,17654
MSP,STC,17614
MSP,BRD,17610
ATL,FSM,17570
CHA,ORD,17565
LAX,RDD,17491
TUS,EWR,17471
FLL,GSP,17459
AZA,BLI,17455
LAW,ATL,17437
LAX,BDL,17424
MSN,CLE,17420
EWR,TYS,17409
MLU,DFW,17405
CVG,LAN,17400
PGD,CMH,17390
LAN,CVG,17385
CVG,ROA,17374
AZA,FAR,17371
DAY,MKE,17354
SAN,COS,17349
MCW,MSP,17348
BMI,MCO,17346
MSP,MDT,17341
IAH,ACT,17333
AUS,SEA,17315
DFW,MLU,17269
OKC,IAD,17247
RDU,MCI,17240
BOS,MSY,17235
MSY,JAX,17223
TOL,SFB,17218
EWR,TUS,17196
AUS,MSY,17151
GSP,FLL,17140
IAD,OKC,17128
MSP,MBS,17116
TYS,FLL,17110
FLL,TYS,17080
DTW,ANC,17077
MDT,MSP,17032
CAK,PHL,17020
MSY,MCI,17009
ATL,LAW,17008
TYS,EWR,16997
CHO,PHL,16984
PBG,FLL,16971
MSP,MCW,16961
ACT,IAH,16959
BGR,ATL,16929
FSM,ATL,16926
IND,MIA,16882
MSY,BOS,16876
BGR,SFB,16875
MSY,AUS,16845
CMH,MIA,16842
CLE,MSN,16817
SFB,TOL,16814
MCI,MSY,16785
MSP,MHT,16725
COS,SAN,16681
MIA,IND,16666
CLE,AUS,16644
GPT,CLT,16628
GRR,MEM,16615
MEM,GRR,16595
MSP,PVD,16571
FLL,PBG,16566
FSD,AZA,16550
CVG,ABE,16545
ROA,CVG,16528
AUS,CLE,16525
IAH,TLH,16494
ATL,MSN,16477
GRB,CVG,16469
ITH,LGA,16437
AZA,FSD,16427
LGA,MSN,16420
MLU,MEM,16418
LGA,CAE,16417
PDX,SBA,16392
CID,AZA,16339
LAX,EUG,16329
SHV,LAS,16309
LAS,SHV,16279
ATL,BGR,16278
LGA,ITH,16261
MSN,LGA,16261
XNA,MSP,16240
MSP,TVC,16237
PHL,CHO,16235
JAX,MSY,16232
PIT,MIA,16172
MSO,AZA,16150
LAX,YUM,16132
SFB,BGR,16114
FWA,CLE,16112
OKC,CLE,16107
CVG,GRB,16083
MIA,CMH,16074
IAH,DRT,16059
MSP,ALB,16057
OXR,LAX,16048
MEM,MLU,16044
CAE,LGA,16031
AZA,CID,16031
DRT,IAH,16027
TLH,IAH,16019
BDL,LAX,16009
LAX,OXR,16001
MSY,CLE,15992
MIA,PIT,15975
YUM,LAX,15975
BGR,JFK,15969
LAX,BFL,15931
ATL,JAC,15924
