orig_airport,dest_airport,orig_city,dest_city,total_passengers
PWM,CLE,"Portland, ME","Cleveland, OH",12668
LGA,CLE,"New York, NY","Cleveland, OH",155177
SYR,CLE,"Syracuse, NY","Cleveland, OH",38289
AVP,CLE,"Scranton, PA","Cleveland, OH",14638
RIC,CLE,"Richmond, VA","Cleveland, OH",28592
LGA,BKL,"New York, NY","Cleveland, OH",65
ABE,CLE,"Allentown, PA","Cleveland, OH",27538
BWI,CLE,"Baltimore, MD","Cleveland, OH",199793
CLT,CLE,"Charlotte, NC","Cleveland, OH",178828
CLE,CLE,"Cleveland, OH","Cleveland, OH",414
CLT,BKL,"Charlotte, NC","Cleveland, OH",36
TYS,CLE,"Knoxville, TN","Cleveland, OH",13443
JHW,CLE,"Jamestown, NY","Cleveland, OH",776
GRB,CLE,"Green Bay, WI","Cleveland, OH",8421
DFW,CLE,"Dallas, TX","Cleveland, OH",114377
BOS,CLE,"Boston, MA","Cleveland, OH",102475
DAY,CLE,"Dayton, OH","Cleveland, OH",38416
DAL,CLE,"Dallas, TX","Cleveland, OH",100
DLH,CLE,"Duluth, MN","Cleveland, OH",31
BOS,BKL,"Boston, MA","Cleveland, OH",107
DAL,BKL,"Dallas, TX","Cleveland, OH",43
ERI,CLE,"Erie, PA","Cleveland, OH",29892
TPA,CLE,"Tampa, FL","Cleveland, OH",83797
CAK,CLE,"Akron, OH","Cleveland, OH",79
AUS,CLE,"Austin, TX","Cleveland, OH",16525
OMA,CLE,"Omaha, NE","Cleveland, OH",19241
FNT,CLE,"Flint, MI","Cleveland, OH",19092
ALB,CLE,"Albany, NY","Cleveland, OH",45935
RNO,CLE,"Reno, NV","Cleveland, OH",245
TUL,CLE,"Tulsa, OK","Cleveland, OH",10357
MIA,CLE,"Miami, FL","Cleveland, OH",23067
MIA,BKL,"Miami, FL","Cleveland, OH",70
EWR,CLE,"Newark, NJ","Cleveland, OH",177093
TOL,CLE,"Toledo, OH","Cleveland, OH",4668
EWR,BKL,"Newark, NJ","Cleveland, OH",1
MCO,CLE,"Orlando, FL","Cleveland, OH",197087
MEM,CLE,"Memphis, TN","Cleveland, OH",39381
MSN,CLE,"Madison, WI","Cleveland, OH",17420
LNK,CLE,"Lincoln, NE","Cleveland, OH",44
LAN,CLE,"Lansing, MI","Cleveland, OH",87
SFB,CLE,"Orlando, FL","Cleveland, OH",120
MEM,BKL,"Memphis, TN","Cleveland, OH",47
HOU,CLE,"Houston, TX","Cleveland, OH",34
OAK,CLE,"Oakland, CA","Cleveland, OH",70
BFI,CLE,"Seattle, WA","Cleveland, OH",43
RDU,CLE,"Raleigh, NC","Cleveland, OH",46828
PHX,CLE,"Phoenix, AZ","Cleveland, OH",141981
SEA,CLE,"Seattle, WA","Cleveland, OH",32003
CAE,CLE,"Columbia, SC","Cleveland, OH",74
CSG,CLE,"Columbus, GA","Cleveland, OH",104
BFD,CLE,"Bradford, PA","Cleveland, OH",581
BFI,BKL,"Seattle, WA","Cleveland, OH",101
BDL,CLE,"Hartford, CT","Cleveland, OH",53401
CMH,CLE,"Columbus, OH","Cleveland, OH",34550
CMH,BKL,"Columbus, OH","Cleveland, OH",177
HNL,CLE,"Honolulu, HI","Cleveland, OH",451
GPT,CLE,"Gulfport, MS","Cleveland, OH",337
CYS,DIK,"Cheyenne, WY","Dickinson, ND",168
GCC,DIK,"Gillette, WY","Dickinson, ND",42
RIW,DIK,"Riverton, WY","Dickinson, ND",11
SHR,DIK,"Sheridan, WY","Dickinson, ND",16
ISN,DIK,"Williston, ND","Dickinson, ND",8757
BFF,DIK,"Scottsbluff, NE","Dickinson, ND",45
YUM,IPL,"Yuma, AZ","El Centro, CA",3293
LAX,IPL,"Los Angeles, CA","El Centro, CA",8544
DFW,ELD,"Dallas, TX","El Dorado, AR",1543
JBR,ELD,"Jonesboro, AR","El Dorado, AR",1178
HRO,ELD,"Harrison, AR","El Dorado, AR",20
HOT,ELD,"Hot Springs, AR","El Dorado, AR",19
MWH,FBK,"Moses Lake, WA","Fairbanks, AK",693
FAI,FAI,"Fairbanks, AK","Fairbanks, AK",229
FAI,FBK,"Fairbanks, AK","Fairbanks, AK",33
FBK,FAI,"Fairbanks, AK","Fairbanks, AK",6
ANC,FAI,"Anchorage, AK","Fairbanks, AK",264198
MRI,FAI,"Anchorage, AK","Fairbanks, AK",1
EDF,EIL,"Anchorage, AK","Fairbanks, AK",67
DTW,FAI,"Detroit, MI","Fairbanks, AK",319
SEA,FAI,"Seattle, WA","Fairbanks, AK",123175
BFI,EIL,"Seattle, WA","Fairbanks, AK",75
SEA,EIL,"Seattle, WA","Fairbanks, AK",304
MSP,FAI,"Minneapolis, MN","Fairbanks, AK",33894
SLC,FAI,"Salt Lake City, UT","Fairbanks, AK",9782
JNU,FAI,"Juneau, AK","Fairbanks, AK",168
PHX,FLG,"Phoenix, AZ","Flagstaff, AZ",41470
MSO,FLG,"Missoula, MT","Flagstaff, AZ",117
COS,FLG,"Colorado Springs, CO","Flagstaff, AZ",83
GJT,FLG,"Grand Junction, CO","Flagstaff, AZ",24
SBA,FLG,"Santa Barbara, CA","Flagstaff, AZ",22
PUB,FLG,"Pueblo, CO","Flagstaff, AZ",57
BZN,FLG,"Bozeman, MT","Flagstaff, AZ",118
ELP,FLG,"El Paso, TX","Flagstaff, AZ",54
PRC,FLG,"Prescott, AZ","Flagstaff, AZ",2009
SAN,FLG,"San Diego, CA","Flagstaff, AZ",39
PIH,FLG,"Pocatello, ID","Flagstaff, AZ",92
LAX,FLG,"Los Angeles, CA","Flagstaff, AZ",8038
JFK,GRB,"New York, NY","Green Bay, WI",302
PWM,GRB,"Portland, ME","Green Bay, WI",33
SYR,GRB,"Syracuse, NY","Green Bay, WI",21
LGA,GRB,"New York, NY","Green Bay, WI",2
CLE,GRB,"Cleveland, OH","Green Bay, WI",8111
BWI,GRB,"Baltimore, MD","Green Bay, WI",143
FCA,GRB,"Kalispell, MT","Green Bay, WI",38
CID,GRB,"Cedar Rapids, IA","Green Bay, WI",79
MSP,GRB,"Minneapolis, MN","Green Bay, WI",102466
MSY,GRB,"New Orleans, LA","Green Bay, WI",159
ORD,GRB,"Chicago, IL","Green Bay, WI",106225
DTW,GRB,"Detroit, MI","Green Bay, WI",115756
MDW,GRB,"Chicago, IL","Green Bay, WI",65
ATL,GRB,"Atlanta, GA","Green Bay, WI",3990
AZA,GRB,"Phoenix, AZ","Green Bay, WI",6347
BFI,GRB,"Seattle, WA","Green Bay, WI",145
SEA,GRB,"Seattle, WA","Green Bay, WI",165
RDU,GRB,"Raleigh, NC","Green Bay, WI",158
BDL,GRB,"Hartford, CT","Green Bay, WI",33
CMH,GRB,"Columbus, OH","Green Bay, WI",39
MEM,GRB,"Memphis, TN","Green Bay, WI",99
MSN,GRB,"Madison, WI","Green Bay, WI",69
OMA,GRB,"Omaha, NE","Green Bay, WI",87
RNO,GRB,"Reno, NV","Green Bay, WI",130
TPA,GRB,"Tampa, FL","Green Bay, WI",140
EWR,GRB,"Newark, NJ","Green Bay, WI",100
CWA,GRB,"Wausau, WI","Green Bay, WI",47
DFW,GRB,"Dallas, TX","Green Bay, WI",291
SLC,GRB,"Salt Lake City, UT","Green Bay, WI",592
SFO,GRB,"San Francisco, CA","Green Bay, WI",327
IND,GRB,"Indianapolis, IN","Green Bay, WI",139
PHL,GRB,"Philadelphia, PA","Green Bay, WI",93
JAX,GRB,"Jacksonville, FL","Green Bay, WI",128
MQT,GRB,"Marquette, MI","Green Bay, WI",1577
MKE,GRB,"Milwaukee, WI","Green Bay, WI",28369
LAS,GRB,"Las Vegas, NV","Green Bay, WI",14713
BNA,GRB,"Nashville, TN","Green Bay, WI",139
RST,GRB,"Rochester, MN","Green Bay, WI",47
SNA,GRB,"Santa Ana, CA","Green Bay, WI",42
ROC,GRB,"Rochester, NY","Green Bay, WI",40
PIT,GRB,"Pittsburgh, PA","Green Bay, WI",50
CVG,GRB,"Cincinnati, OH","Green Bay, WI",16083
CHS,GRB,"Charleston, SC","Green Bay, WI",30
STL,GRB,"St. Louis, MO","Green Bay, WI",73
MSP,JMS,"Minneapolis, MN","Jamestown, ND",2533
BRD,JMS,"Brainerd, MN","Jamestown, ND",1126
ABR,JMS,"Aberdeen, SD","Jamestown, ND",382
CLE,JHW,"Cleveland, OH","Jamestown, NY",1148
IAD,JHW,"Washington, DC","Jamestown, NY",2006
PIT,JHW,"Pittsburgh, PA","Jamestown, NY",93
BFD,JHW,"Bradford, PA","Jamestown, NY",388
PIT,JST,"Pittsburgh, PA","Johnstown, PA",458
ABE,JST,"Allentown, PA","Johnstown, PA",62
IAD,JST,"Washington, DC","Johnstown, PA",5174
ACY,JST,"Atlantic City, NJ","Johnstown, PA",89
HOT,JBR,"Hot Springs, AR","Jonesboro, AR",8
ELD,JBR,"El Dorado, AR","Jonesboro, AR",1217
DFW,JBR,"Dallas, TX","Jonesboro, AR",54
PGD,AZO,"Punta Gorda, FL","Kalamazoo, MI",683
MSP,AZO,"Minneapolis, MN","Kalamazoo, MI",9856
FSD,AZO,"Sioux Falls, SD","Kalamazoo, MI",49
CVG,AZO,"Cincinnati, OH","Kalamazoo, MI",26349
HSV,AZO,"Huntsville, AL","Kalamazoo, MI",46
MDT,AZO,"Harrisburg, PA","Kalamazoo, MI",21
TVC,AZO,"Traverse City, MI","Kalamazoo, MI",58
ROA,AZO,"Roanoke, VA","Kalamazoo, MI",27
SFB,AZO,"Orlando, FL","Kalamazoo, MI",581
LSE,AZO,"La Crosse, WI","Kalamazoo, MI",12
TYS,AZO,"Knoxville, TN","Kalamazoo, MI",20
SYR,AZO,"Syracuse, NY","Kalamazoo, MI",38
RIC,AZO,"Richmond, VA","Kalamazoo, MI",50
ATL,AZO,"Atlanta, GA","Kalamazoo, MI",50
DTW,AZO,"Detroit, MI","Kalamazoo, MI",70942
ORD,AZO,"Chicago, IL","Kalamazoo, MI",53735
MSP,FCA,"Minneapolis, MN","Kalispell, MT",39359
GTF,FCA,"Great Falls, MT","Kalispell, MT",2055
ILG,FCA,"Wilmington, DE","Kalispell, MT",38
SLC,FCA,"Salt Lake City, UT","Kalispell, MT",64619
SFO,FCA,"San Francisco, CA","Kalispell, MT",594
DAL,FCA,"Dallas, TX","Kalispell, MT",46
ATL,FCA,"Atlanta, GA","Kalispell, MT",3230
ORD,FCA,"Chicago, IL","Kalispell, MT",5705
SEA,FCA,"Seattle, WA","Kalispell, MT",44242
MSO,FCA,"Missoula, MT","Kalispell, MT",153
LAS,FCA,"Las Vegas, NV","Kalispell, MT",2411
JNU,KTN,"Juneau, AK","Ketchikan, AK",27446
ANC,KTN,"Anchorage, AK","Ketchikan, AK",273
KTN,WFB,"Ketchikan, AK","Ketchikan, AK",1659
WFB,KTN,"Ketchikan, AK","Ketchikan, AK",1313
WFB,WFB,"Ketchikan, AK","Ketchikan, AK",23274
SEA,KTN,"Seattle, WA","Ketchikan, AK",119295
BFI,KTN,"Seattle, WA","Ketchikan, AK",8
BDL,TYS,"Hartford, CT","Knoxville, TN",164
CMH,TYS,"Columbus, OH","Knoxville, TN",82
GPT,TYS,"Gulfport, MS","Knoxville, TN",110
CAE,TYS,"Columbia, SC","Knoxville, TN",229
PHX,TYS,"Phoenix, AZ","Knoxville, TN",98
CSG,TYS,"Columbus, GA","Knoxville, TN",191
GTR,TYS,"Columbus, MS","Knoxville, TN",130
SEA,TYS,"Seattle, WA","Knoxville, TN",422
RDU,TYS,"Raleigh, NC","Knoxville, TN",80
SFB,TYS,"Orlando, FL","Knoxville, TN",40789
MEM,TYS,"Memphis, TN","Knoxville, TN",38898
MCO,TYS,"Orlando, FL","Knoxville, TN",9340
IAH,TYS,"Houston, TX","Knoxville, TN",49304
LAR,TYS,"Laramie, WY","Knoxville, TN",128
JAN,TYS,"Jackson, MS","Knoxville, TN",25
TPA,TYS,"Tampa, FL","Knoxville, TN",438
RNO,TYS,"Reno, NV","Knoxville, TN",372
MIA,TYS,"Miami, FL","Knoxville, TN",122
CAK,TYS,"Akron, OH","Knoxville, TN",169
AHN,TYS,"Athens, GA","Knoxville, TN",74
AUS,TYS,"Austin, TX","Knoxville, TN",36
DFW,TYS,"Dallas, TX","Knoxville, TN",59437
MOB,TYS,"Mobile, AL","Knoxville, TN",29
BOS,TYS,"Boston, MA","Knoxville, TN",424
DAY,TYS,"Dayton, OH","Knoxville, TN",67
EWR,TYS,"Newark, NJ","Knoxville, TN",17409
TUP,TYS,"Tupelo, MS","Knoxville, TN",33
PHL,TYS,"Philadelphia, PA","Knoxville, TN",19716
IND,TYS,"Indianapolis, IN","Knoxville, TN",126
JAX,TYS,"Jacksonville, FL","Knoxville, TN",47
ACY,TYS,"Atlantic City, NJ","Knoxville, TN",1661
OKC,TYS,"Oklahoma City, OK","Knoxville, TN",97
SLC,TYS,"Salt Lake City, UT","Knoxville, TN",843
FLL,TYS,"Fort Lauderdale, FL","Knoxville, TN",17080
FXE,TYS,"Fort Lauderdale, FL","Knoxville, TN",1
BNA,TYS,"Nashville, TN","Knoxville, TN",253
LEX,TYS,"Lexington, KY","Knoxville, TN",66
SNA,TYS,"Santa Ana, CA","Knoxville, TN",292
SAN,TYS,"San Diego, CA","Knoxville, TN",157
LAS,TYS,"Las Vegas, NV","Knoxville, TN",2375
MKE,TYS,"Milwaukee, WI","Knoxville, TN",49
PIT,TYS,"Pittsburgh, PA","Knoxville, TN",275
PVD,TYS,"Providence, RI","Knoxville, TN",75
CVG,TYS,"Cincinnati, OH","Knoxville, TN",47512
HSV,TYS,"Huntsville, AL","Knoxville, TN",23
GSP,TYS,"Greenville, SC","Knoxville, TN",94
DSM,TYS,"Des Moines, IA","Knoxville, TN",34
BHM,TYS,"Birmingham, AL","Knoxville, TN",50
FSM,TYS,"Fort Smith, AR","Knoxville, TN",60
MDT,TYS,"Harrisburg, PA","Knoxville, TN",47
STL,TYS,"St. Louis, MO","Knoxville, TN",44
ORD,TYS,"Chicago, IL","Knoxville, TN",79461
DTW,TYS,"Detroit, MI","Knoxville, TN",57086
MDW,TYS,"Chicago, IL","Knoxville, TN",64
ATL,TYS,"Atlanta, GA","Knoxville, TN",148399
BUF,TYS,"Buffalo, NY","Knoxville, TN",281
LGA,TYS,"New York, NY","Knoxville, TN",14973
SYR,TYS,"Syracuse, NY","Knoxville, TN",43
JFK,TYS,"New York, NY","Knoxville, TN",314
RIC,TYS,"Richmond, VA","Knoxville, TN",2
RFD,TYS,"Rockford, IL","Knoxville, TN",169
SJC,TYS,"San Jose, CA","Knoxville, TN",126
PWM,TYS,"Portland, ME","Knoxville, TN",120
AVP,TYS,"Scranton, PA","Knoxville, TN",69
CLE,TYS,"Cleveland, OH","Knoxville, TN",13769
CLT,TYS,"Charlotte, NC","Knoxville, TN",95697
BWI,TYS,"Baltimore, MD","Knoxville, TN",218
LAF,TYS,"Lafayette, IN","Knoxville, TN",95
XNA,TYS,"Fayetteville, AR","Knoxville, TN",8
FYV,TYS,"Fayetteville, AR","Knoxville, TN",40
TLH,TYS,"Tallahassee, FL","Knoxville, TN",31
ABQ,TYS,"Albuquerque, NM","Knoxville, TN",35
DCA,TYS,"Washington, DC","Knoxville, TN",24038
BTR,TYS,"Baton Rouge, LA","Knoxville, TN",101
SMF,TYS,"Sacramento, CA","Knoxville, TN",181
IAD,TYS,"Washington, DC","Knoxville, TN",31214
SHV,TYS,"Shreveport, LA","Knoxville, TN",216
LIT,TYS,"Little Rock, AR","Knoxville, TN",71
GNV,TYS,"Gainesville, FL","Knoxville, TN",182
TCL,TYS,"Tuscaloosa, AL","Knoxville, TN",199
SBN,TYS,"South Bend, IN","Knoxville, TN",32
MCI,TYS,"Kansas City, MO","Knoxville, TN",106
MSP,TYS,"Minneapolis, MN","Knoxville, TN",12640
MSY,TYS,"New Orleans, LA","Knoxville, TN",139
ORD,LSE,"Chicago, IL","La Crosse, WI",41966
DTW,LSE,"Detroit, MI","La Crosse, WI",31
MDW,LSE,"Chicago, IL","La Crosse, WI",42
JFK,LSE,"New York, NY","La Crosse, WI",142
GRB,LSE,"Green Bay, WI","La Crosse, WI",44
SLC,LSE,"Salt Lake City, UT","La Crosse, WI",634
SFO,LSE,"San Francisco, CA","La Crosse, WI",194
IAH,LSE,"Houston, TX","La Crosse, WI",42
GFK,LSE,"Grand Forks, ND","La Crosse, WI",41
IAD,LSE,"Washington, DC","La Crosse, WI",184
MSP,LSE,"Minneapolis, MN","La Crosse, WI",65945
GRR,LSE,"Grand Rapids, MI","La Crosse, WI",47
BNA,LSE,"Nashville, TN","La Crosse, WI",37
LAS,LSE,"Las Vegas, NV","La Crosse, WI",173
RST,LSE,"Rochester, MN","La Crosse, WI",37
SAN,LSE,"San Diego, CA","La Crosse, WI",324
MKE,LSE,"Milwaukee, WI","La Crosse, WI",42
DSM,LSE,"Des Moines, IA","La Crosse, WI",52
PVD,LSE,"Providence, RI","La Crosse, WI",59
FNT,LSE,"Flint, MI","La Crosse, WI",45
MIA,LSE,"Miami, FL","La Crosse, WI",141
RNO,LSE,"Reno, NV","La Crosse, WI",88
DFW,LSE,"Dallas, TX","La Crosse, WI",40
CWA,LSE,"Wausau, WI","La Crosse, WI",76
GYY,LAF,"Gary, IN","Lafayette, IN",49
TUL,LAF,"Tulsa, OK","Lafayette, IN",64
CMH,LAF,"Columbus, OH","Lafayette, IN",90
LCK,LAF,"Columbus, OH","Lafayette, IN",121
MSN,LAF,"Madison, WI","Lafayette, IN",78
LAN,LAF,"Lansing, MI","Lafayette, IN",271
RDU,LAF,"Raleigh, NC","Lafayette, IN",40
PHL,LAF,"Philadelphia, PA","Lafayette, IN",25
SCE,LAF,"State College, PA","Lafayette, IN",165
OKC,LAF,"Oklahoma City, OK","Lafayette, IN",91
SLC,LAF,"Salt Lake City, UT","Lafayette, IN",70
IAD,LAF,"Washington, DC","Lafayette, IN",106
MSP,LAF,"Minneapolis, MN","Lafayette, IN",210
CID,LAF,"Cedar Rapids, IA","Lafayette, IN",236
YIP,LAF,"Detroit, MI","Lafayette, IN",127
DTW,LAF,"Detroit, MI","Lafayette, IN",132
MDW,LAF,"Chicago, IL","Lafayette, IN",53
TYS,LAF,"Knoxville, TN","Lafayette, IN",94
PBI,LFT,"West Palm Beach, FL","Lafayette, LA",142
FLL,LFT,"Fort Lauderdale, FL","Lafayette, LA",397
JAX,LFT,"Jacksonville, FL","Lafayette, LA",140
LCH,LFT,"Lake Charles, LA","Lafayette, LA",89
PHL,LFT,"Philadelphia, PA","Lafayette, LA",308
MSY,LFT,"New Orleans, LA","Lafayette, LA",65
TLH,LFT,"Tallahassee, FL","Lafayette, LA",45
BTR,LFT,"Baton Rouge, LA","Lafayette, LA",192
SHV,LFT,"Shreveport, LA","Lafayette, LA",21
IAD,LFT,"Washington, DC","Lafayette, LA",46
DCA,LFT,"Washington, DC","Lafayette, LA",608
CHA,LFT,"Chattanooga, TN","Lafayette, LA",24
GPT,LFT,"Gulfport, MS","Lafayette, LA",41
IAH,LFT,"Houston, TX","Lafayette, LA",107123
MEM,LFT,"Memphis, TN","Lafayette, LA",21984
MCO,LFT,"Orlando, FL","Lafayette, LA",50
RDU,LFT,"Raleigh, NC","Lafayette, LA",95
CAE,LFT,"Columbia, SC","Lafayette, LA",39
RIC,LFT,"Richmond, VA","Lafayette, LA",133
LGA,LFT,"New York, NY","Lafayette, LA",350
TYS,LFT,"Knoxville, TN","Lafayette, LA",93
CMI,LFT,"Champaign, IL","Lafayette, LA",105
CLT,LFT,"Charlotte, NC","Lafayette, LA",331
CLE,LFT,"Cleveland, OH","Lafayette, LA",141
ORD,LFT,"Chicago, IL","Lafayette, LA",176
ATL,LFT,"Atlanta, GA","Lafayette, LA",39166
DFW,LFT,"Dallas, TX","Lafayette, LA",35753
DAY,LFT,"Dayton, OH","Lafayette, LA",98
DAL,LFT,"Dallas, TX","Lafayette, LA",11
MOB,LFT,"Mobile, AL","Lafayette, LA",56
BOS,LFT,"Boston, MA","Lafayette, LA",384
EWR,LFT,"Newark, NJ","Lafayette, LA",150
MIA,LFT,"Miami, FL","Lafayette, LA",113
TPA,LFT,"Tampa, FL","Lafayette, LA",152
BNA,LFT,"Nashville, TN","Lafayette, LA",66
MHK,LFT,"Manhattan, KS","Lafayette, LA",263
PNS,LFT,"Pensacola, FL","Lafayette, LA",50
MKE,LFT,"Milwaukee, WI","Lafayette, LA",48
STL,LFT,"St. Louis, MO","Lafayette, LA",40
BHM,LFT,"Birmingham, AL","Lafayette, LA",237
AEX,LFT,"Alexandria, LA","Lafayette, LA",82
CHS,LFT,"Charleston, SC","Lafayette, LA",50
MGM,LFT,"Montgomery, AL","Lafayette, LA",123
CVG,LFT,"Cincinnati, OH","Lafayette, LA",22
PIT,LFT,"Pittsburgh, PA","Lafayette, LA",96
LUK,LNS,"Cincinnati, OH","Lancaster, PA",74
MDT,LNS,"Harrisburg, PA","Lancaster, PA",2
MCO,LNS,"Orlando, FL","Lancaster, PA",1219
IAD,LNS,"Washington, DC","Lancaster, PA",3
PHL,LNS,"Philadelphia, PA","Lancaster, PA",2
SFO,LAS,"San Francisco, CA","Las Vegas, NV",905630
IND,LAS,"Indianapolis, IN","Las Vegas, NV",187301
PHL,LAS,"Philadelphia, PA","Las Vegas, NV",414648
OKC,LAS,"Oklahoma City, OK","Las Vegas, NV",68792
PNE,LAS,"Philadelphia, PA","Las Vegas, NV",9
ACY,LAS,"Atlantic City, NJ","Las Vegas, NV",807
SBA,LAS,"Santa Barbara, CA","Las Vegas, NV",20283
JAX,LAS,"Jacksonville, FL","Las Vegas, NV",23442
GJT,LAS,"Grand Junction, CO","Las Vegas, NV",14080
MUO,LSV,"Mountain Home, ID","Las Vegas, NV",107
OKC,LSV,"Oklahoma City, OK","Las Vegas, NV",103
SLC,LAS,"Salt Lake City, UT","Las Vegas, NV",530097
COS,LAS,"Colorado Springs, CO","Las Vegas, NV",39725
FLL,LAS,"Fort Lauderdale, FL","Las Vegas, NV",128269
PBI,LAS,"West Palm Beach, FL","Las Vegas, NV",6775
SBP,LAS,"San Luis Obispo, CA","Las Vegas, NV",4511
SJC,LAS,"San Jose, CA","Las Vegas, NV",378501
PDX,LAS,"Portland, OR","Las Vegas, NV",348359
LGA,LAS,"New York, NY","Las Vegas, NV",133
JFK,LAS,"New York, NY","Las Vegas, NV",605275
SCK,LAS,"Stockton, CA","Las Vegas, NV",29323
RFD,LAS,"Rockford, IL","Las Vegas, NV",22412
VAD,LSV,"Valdosta, GA","Las Vegas, NV",99
CLT,LAS,"Charlotte, NC","Las Vegas, NV",278785
CLE,LAS,"Cleveland, OH","Las Vegas, NV",243784
ANC,LAS,"Anchorage, AK","Las Vegas, NV",21157
BWI,LAS,"Baltimore, MD","Las Vegas, NV",192584
TYS,LAS,"Knoxville, TN","Las Vegas, NV",2050
FCA,LAS,"Kalispell, MT","Las Vegas, NV",2401
GRB,LAS,"Green Bay, WI","Las Vegas, NV",14768
FLG,LAS,"Flagstaff, AZ","Las Vegas, NV",120
LSE,LAS,"La Crosse, WI","Las Vegas, NV",173
STL,LAS,"St. Louis, MO","Las Vegas, NV",181937
BHM,LAS,"Birmingham, AL","Las Vegas, NV",41909
CVG,LAS,"Cincinnati, OH","Las Vegas, NV",138392
BLI,LAS,"Bellingham, WA","Las Vegas, NV",96112
DSM,LAS,"Des Moines, IA","Las Vegas, NV",35278
MHT,LAS,"Manchester, NH","Las Vegas, NV",44972
CDC,LAS,"Cedar City, UT","Las Vegas, NV",162
FWA,LAS,"Fort Wayne, IN","Las Vegas, NV",2730
SAN,LAS,"San Diego, CA","Las Vegas, NV",526155
LAS,LAS,"Las Vegas, NV","Las Vegas, NV",1273
MKE,LAS,"Milwaukee, WI","Las Vegas, NV",184123
SNA,LAS,"Santa Ana, CA","Las Vegas, NV",358742
SEE,VGT,"San Diego, CA","Las Vegas, NV",76
SAN,VGT,"San Diego, CA","Las Vegas, NV",17
ROC,LAS,"Rochester, NY","Las Vegas, NV",7536
RST,LAS,"Rochester, MN","Las Vegas, NV",14182
BNA,LAS,"Nashville, TN","Las Vegas, NV",131776
PIT,LAS,"Pittsburgh, PA","Las Vegas, NV",163750
PVD,LAS,"Providence, RI","Las Vegas, NV",45579
RAP,LAS,"Rapid City, SD","Las Vegas, NV",14869
ABQ,LAS,"Albuquerque, NM","Las Vegas, NV",203022
DCA,LAS,"Washington, DC","Las Vegas, NV",52636
IAD,LAS,"Washington, DC","Las Vegas, NV",207998
GTF,LAS,"Great Falls, MT","Las Vegas, NV",15374
SBN,LAS,"South Bend, IN","Las Vegas, NV",15045
IAD,HSH,"Washington, DC","Las Vegas, NV",6
SHV,LAS,"Shreveport, LA","Las Vegas, NV",16309
BFL,LAS,"Bakersfield, CA","Las Vegas, NV",2820
GFK,LAS,"Grand Forks, ND","Las Vegas, NV",3637
SMF,LAS,"Sacramento, CA","Las Vegas, NV",393392
MCI,LAS,"Kansas City, MO","Las Vegas, NV",188576
BMI,LAS,"Bloomington, IL","Las Vegas, NV",4598
LIT,LAS,"Little Rock, AR","Las Vegas, NV",41832
STS,LAS,"Santa Rosa, CA","Las Vegas, NV",13148
IDA,LAS,"Idaho Falls, ID","Las Vegas, NV",13372
BAD,LSV,"Shreveport, LA","Las Vegas, NV",94
MSP,LAS,"Minneapolis, MN","Las Vegas, NV",452498
SAT,LAS,"San Antonio, TX","Las Vegas, NV",165683
LAX,LAS,"Los Angeles, CA","Las Vegas, NV",1004566
MSY,LAS,"New Orleans, LA","Las Vegas, NV",81796
SGF,LAS,"Springfield, MO","Las Vegas, NV",30998
FSD,LAS,"Sioux Falls, SD","Las Vegas, NV",31368
CID,LAS,"Cedar Rapids, IA","Las Vegas, NV",31524
GRI,LAS,"Grand Island, NE","Las Vegas, NV",4570
XNA,LAS,"Fayetteville, AR","Las Vegas, NV",63
HOU,LAS,"Houston, TX","Las Vegas, NV",166043
IAH,LAS,"Houston, TX","Las Vegas, NV",423893
DTW,LAS,"Detroit, MI","Las Vegas, NV",417690
MDW,LAS,"Chicago, IL","Las Vegas, NV",395107
ELP,LAS,"El Paso, TX","Las Vegas, NV",94625
ORD,LAS,"Chicago, IL","Las Vegas, NV",710789
PWK,LAS,"Chicago, IL","Las Vegas, NV",8
BUF,LAS,"Buffalo, NY","Las Vegas, NV",69755
ATL,LAS,"Atlanta, GA","Las Vegas, NV",806845
BZN,LAS,"Bozeman, MT","Las Vegas, NV",3025
OAK,LAS,"Oakland, CA","Las Vegas, NV",398642
MEM,LAS,"Memphis, TN","Las Vegas, NV",43498
LNK,LAS,"Lincoln, NE","Las Vegas, NV",9028
MAF,LAS,"Midland, TX","Las Vegas, NV",41767
MCO,LAS,"Orlando, FL","Las Vegas, NV",143481
MFR,LAS,"Medford, OR","Las Vegas, NV",19153
JAN,LAS,"Jackson, MS","Las Vegas, NV",204
LAR,LAS,"Laramie, WY","Las Vegas, NV",123
OGG,LAS,"Kahului, HI","Las Vegas, NV",13330
LAN,LAS,"Lansing, MI","Las Vegas, NV",128
LBB,LAS,"Lubbock, TX","Las Vegas, NV",39446
MSN,LAS,"Madison, WI","Las Vegas, NV",128
SEA,LAS,"Seattle, WA","Las Vegas, NV",606894
PHX,LAS,"Phoenix, AZ","Las Vegas, NV",919742
ATW,LAS,"Appleton, WI","Las Vegas, NV",5330
ICT,LAS,"Wichita, KS","Las Vegas, NV",34739
AMA,LAS,"Amarillo, TX","Las Vegas, NV",41672
VIS,LAS,"Visalia, CA","Las Vegas, NV",524
AZA,LAS,"Phoenix, AZ","Las Vegas, NV",420
GEG,LAS,"Spokane, WA","Las Vegas, NV",81672
BIL,LAS,"Billings, MT","Las Vegas, NV",21986
RDU,LAS,"Raleigh, NC","Las Vegas, NV",80739
BIS,LAS,"Bismarck, ND","Las Vegas, NV",25687
